País,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Ano,Continente
Japão,170,819,601,516,301,440,191,881,738,730,715,167,2007,Ásia
República da Coréia,141,231,171,239,263,204,97,190,355,146,143,246,2007,Ásia
Outros,422,336,411,556,317,234,512,323,191,114,438,455,2007,Ásia
Alemanha,4024,4578,2643,2758,1907,1875,2890,2859,2636,2226,2184,2024,2007,Europa
Áustria,489,456,151,479,127,167,416,275,288,204,200,248,2007,Europa
Bélgica,450,280,302,578,309,401,658,489,446,489,467,267,2007,Europa
Dinamarca,545,765,244,446,203,292,534,213,368,345,336,404,2007,Europa
Espanha,2409,2390,2000,2199,1546,3756,2992,3725,2235,2619,2566,1528,2007,Europa
Finlândia,501,223,140,225,138,150,111,124,160,45,44,301,2007,Europa
França,6144,7343,5582,6574,5478,4109,6091,5752,4320,6816,6699,6645,2007,Europa
Grécia,250,176,481,335,94,99,126,328,119,153,150,88,2007,Europa
Holanda,722,880,500,932,535,528,1113,490,847,704,690,884,2007,Europa
Hungria,89,389,182,265,63,49,102,115,119,129,129,125,2007,Europa
Inglaterra,3740,5424,4344,2782,2237,2883,3224,2848,3504,3017,2919,4240,2007,Europa
Irlanda,331,480,267,306,366,561,498,444,509,443,434,225,2007,Europa
Itália,4348,4583,2627,2817,1652,1959,2725,4762,2305,2717,2665,2848,2007,Europa
Noruega,684,892,640,343,294,590,474,322,399,498,486,563,2007,Europa
Polônia,141,286,147,387,71,202,214,215,355,245,242,230,2007,Europa
Portugal,6656,5357,4388,5508,3426,3322,3878,4360,3828,4674,4590,5664,2007,Europa
Suécia,711,658,368,689,301,463,448,320,465,466,455,657,2007,Europa
Suíça,1610,1571,791,777,533,487,1134,419,726,659,633,998,2007,Europa
Outros,759,1496,899,1842,696,621,556,830,1297,697,682,731,2007,Europa
Austrália,540,1529,550,634,616,504,493,626,661,453,444,889,2007,Oceania
Nova Zelândia,171,169,185,129,92,109,158,215,368,109,105,242,2007,Oceania
Arábia Saudita,15,10,10,26,40,27,16,13,4,26,15,17,2007,Oriente Médio
Iraque,0,0,0,0,0,0,0,0,4,0,0,0,2007,Oriente Médio
Israel,964,760,427,291,318,255,405,357,262,162,221,177,2007,Oriente Médio
Outros,79,147,93,166,100,82,70,96,201,71,70,165,2007,Oriente Médio
África do Sul,163,84,141,120,53,90,67,59,90,109,89,0,2008,África
Angola,2245,1411,1569,1254,1312,926,1668,1662,1321,1781,1373,0,2008,África
Cabo Verde,13,7,22,12,6,17,23,13,8,20,11,0,2008,África
Nigéria,17,20,17,14,10,27,12,9,6,22,79,0,2008,África
Outros,124,132,190,210,73,77,176,133,117,99,107,0,2008,África
Costa Rica,61,84,101,68,96,85,154,169,182,158,177,0,2008,América Central
Cuba,78,107,101,73,99,87,150,162,155,86,191,0,2008,América Central
Panamá,61,59,84,51,42,64,228,83,131,163,197,0,2008,América Central
Porto Rico,117,121,61,63,96,127,98,114,88,104,149,0,2008,América Central
Outros,137,240,329,147,219,315,246,276,218,358,400,0,2008,América Central
Canadá,1450,1301,1333,841,552,564,469,674,577,672,692,0,2008,América do Norte
Estados Unidos,13771,12653,14705,10728,10224,10626,10346,10620,9435,8792,9302,0,2008,América do Norte
México,476,474,622,518,859,573,774,592,674,618,690,0,2008,América do Norte
Argentina,13363,11944,16940,7386,40,7697,7797,7240,7994,5874,5508,0,2008,América do Sul
Bolívia,49,54,97,40,3387,45,69,38,86,46,61,0,2008,América do Sul
Chile,7903,8181,4996,3410,3387,3326,3694,3065,4502,3286,3267,0,2008,América do Sul
Colômbia,285,312,649,478,343,454,469,365,473,655,402,0,2008,América do Sul
Equador,105,109,302,234,227,454,767,698,415,459,512,0,2008,América do Sul
Guiana Francesa,0,0,0,0,0,0,0,0,0,0,0,0,2008,América do Sul
Paraguai,536,253,285,109,105,82,118,85,209,213,217,0,2008,América do Sul
Peru,450,399,464,490,473,288,649,763,215,228,288,0,2008,América do Sul
República da Guiana,1,0,3,1,3,12,1,3,3,4,7,0,2008,América do Sul
Suriname,1,0,4,1,1,1,0,0,0,0,1,0,2008,América do Sul
Uruguai,275,300,589,262,205,242,426,549,202,110,116,0,2008,América do Sul
Venezuela,434,366,540,368,456,279,537,574,441,427,239,0,2008,América do Sul
China,313,451,467,409,423,260,192,296,329,436,536,0,2008,Ásia
Índia,120,109,232,175,183,172,128,299,118,139,213,0,2008,Ásia
Israel,1104,889,292,322,277,161,291,297,472,349,348,0,2008,Ásia
Japão,485,813,636,455,675,565,408,767,668,621,642,0,2008,Ásia
República da Coréia,174,128,252,309,110,236,128,212,182,96,171,0,2008,Ásia
Outros,619,634,981,565,504,360,365,460,652,520,1022,0,2008,Ásia
Alemanha,4441,5007,3960,2546,2324,2309,3057,2812,2387,1994,1536,0,2008,Europa
Áustria,541,403,786,215,221,99,302,221,214,344,520,0,2008,Europa
Bélgica,633,595,586,223,304,418,580,432,434,610,380,0,2008,Europa
Dinamarca,791,715,583,272,299,244,463,280,350,488,504,0,2008,Europa
Espanha,2811,2573,3486,1900,2286,2420,3103,3894,2668,1843,2030,0,2008,Europa
Finlândia,326,341,304,134,238,111,114,103,154,223,362,0,2008,Europa
França,6915,8367,6457,6486,4631,3474,6191,6281,3370,5002,5265,0,2008,Europa
Grécia,280,293,374,179,176,115,120,420,108,172,373,0,2008,Europa
Holanda,1081,939,984,826,620,645,1474,925,733,647,743,0,2008,Europa
Hungria,263,220,303,139,201,61,40,51,78,117,257,0,2008,Europa
Inglaterra,5455,5311,4812,2837,2523,2526,3984,3324,3278,2950,2447,0,2008,Europa
Irlanda,741,453,511,313,361,610,514,495,695,666,400,0,2008,Europa
Itália,5630,4696,3143,2896,1416,2095,3019,4341,1895,1842,2135,0,2008,Europa
Noruega,1249,1060,1093,428,386,570,500,342,724,491,655,0,2008,Europa
Polônia,330,299,320,235,182,118,259,186,265,429,599,0,2008,Europa
Portugal,5812,5690,5428,3322,2414,2455,3922,4056,2966,2856,3209,0,2008,Europa
República Tcheca,206,147,129,199,203,76,42,57,147,264,172,0,2008,Europa
Rússia,749,621,390,375,291,152,183,229,201,585,739,0,2008,Europa
Suécia,1301,1029,972,508,345,388,306,225,406,599,827,0,2008,Europa
Suíça,1064,846,904,472,370,378,811,446,553,744,877,0,2008,Europa
Outros,1011,1146,970,556,550,320,334,427,553,853,672,0,2008,Europa
Austrália,1782,769,696,704,650,509,559,758,837,865,611,0,2008,Oceania
Nova Zelândia,209,127,156,201,109,106,258,191,161,156,151,0,2008,Oceania
Outros,5,1,1,6,0,3,3,0,5,9,14,0,2008,Oceania
África do Sul,0,0,0,0,0,0,0,0,0,0,0,0,2009,África
Angola,2423,2434,2306,1716,1545,1080,1092,1162,1280,1239,1151,1073,2009,África
Cabo Verde,0,0,0,0,0,0,0,0,0,0,0,0,2009,África
Nigéria,0,0,0,0,0,0,0,0,0,0,0,0,2009,África
Outros,0,0,0,0,0,0,0,0,0,0,0,0,2009,África
Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0,2009,América Central
Cuba,0,0,0,0,0,0,0,0,0,0,0,0,2009,América Central
Panamá,0,0,0,0,0,0,0,0,0,0,0,0,2009,América Central
Porto Rico,0,0,0,0,0,0,0,0,0,0,0,0,2009,América Central
Outros,0,0,0,0,0,0,0,0,0,0,0,0,2009,América Central
